frame_idx,pred_bins_on_omega,omega_bins,pred_ratio_on_omega,points_in_frame,total_bins,lat_pred_ms_from_frame,lat_omega_ms_from_frame
0,501,4992,0.10036057692307693,121438,16384,1044.920151,1043.079864
1,501,4997,0.1002601560936562,121447,16384,30.220758,28.048734
2,500,4985,0.10030090270812438,121460,16384,27.795811,25.335504
3,497,4970,0.1,121523,16384,29.290599999999998,27.489289
4,496,4954,0.10012111425111021,121487,16384,28.985773,27.096079999999997
5,498,4962,0.1003627569528416,121512,16384,28.675857999999998,26.575865
6,497,4969,0.1000201247735963,121547,16384,29.176361,27.234572999999997
7,498,4965,0.10030211480362537,121644,16384,30.106233,28.138589
8,496,4957,0.10006052047609441,121564,16384,28.967724999999998,26.994065
9,496,4959,0.10002016535591854,121486,16384,28.957869,26.922227
10,492,4919,0.10002032933523074,121298,16384,29.169000999999998,27.098287
11,492,4915,0.10010172939979654,121288,16384,29.45018,27.338379
12,492,4901,0.10038767598449296,121155,16384,29.065099999999997,27.038128999999998
13,492,4916,0.1000813669650122,121180,16384,28.794383999999997,26.710165999999997
14,491,4906,0.10008153281695882,120786,16384,29.164298,27.098736
15,492,4916,0.1000813669650122,120844,16384,29.078986999999998,27.034672
16,492,4912,0.1001628664495114,120499,16384,29.02622,26.812789
17,491,4906,0.10008153281695882,120326,16384,29.075754999999997,27.086606999999997
18,488,4880,0.1,120586,16384,29.34151,27.314602999999998
19,489,4888,0.10004091653027823,120425,16384,29.54781,27.545638999999998
20,491,4906,0.10008153281695882,120357,16384,29.206697,27.154349999999997
21,492,4917,0.10006101281269067,120238,16384,28.881711,26.824531999999998
22,491,4907,0.10006113715100877,119884,16384,28.898861999999998,26.872595999999998
23,490,4899,0.10002041232904675,120038,16384,28.981613,26.913811
24,492,4904,0.100326264274062,119830,16384,28.627316,26.563064999999998
25,490,4894,0.10012259910093993,119748,16384,28.731346,26.63148
26,490,4891,0.1001840114496013,119453,16384,28.574004,26.492475
27,491,4908,0.10004074979625102,119439,16384,28.611987,26.586295999999997
28,491,4908,0.10004074979625102,119547,16384,28.763824999999997,26.752309999999998
29,494,4938,0.10004050222762252,119906,16384,28.726609999999997,26.656568
30,496,4959,0.10002016535591854,119559,16384,29.164842,27.137390999999997
31,496,4959,0.10002016535591854,119304,16384,28.737168999999998,26.648343999999998
32,495,4948,0.10004042037186742,119141,16384,28.57858,26.651704
33,495,4941,0.10018214936247723,118961,16384,30.861098,28.832496
34,495,4942,0.10016187778227438,118848,16384,31.102021999999998,29.078283
35,495,4946,0.10008087343307723,118619,16384,30.984872,28.972652999999998
36,496,4958,0.100040338846309,118683,16384,30.818027999999998,28.759121999999998
37,496,4955,0.10010090817356206,118678,16384,30.719981999999998,28.684275
38,496,4952,0.10016155088852989,118679,16384,31.165861,29.111786
39,496,4951,0.10018178145829125,118328,16384,30.902569,28.81224
40,497,4955,0.10030272452068617,118287,16384,30.686286,28.664659
41,496,4960,0.1,118464,16384,31.216772,29.108106
42,497,4962,0.10016122531237404,118236,16384,30.961769,28.859664
43,496,4953,0.10014132848778518,118207,16384,30.903561999999997,28.793905
44,496,4954,0.10012111425111021,118216,16384,30.794795999999998,28.706066
45,498,4973,0.10014076010456464,118203,16384,31.290819,28.887631
46,496,4956,0.10008071025020178,118043,16384,30.677486,28.618868
47,495,4948,0.10004042037186742,118039,16384,30.966248,28.906029999999998
48,495,4949,0.10002020610224288,117699,16384,30.911306,28.846574999999998
49,496,4960,0.1,117704,16384,30.811339,28.740368999999998
50,495,4946,0.10008087343307723,117676,16384,30.917576999999998,28.794159999999998
51,496,4957,0.10006052047609441,117603,16384,31.073318999999998,28.947598
52,497,4963,0.1001410437235543,117530,16384,30.764588999999997,28.630803999999998
53,496,4957,0.10006052047609441,117426,16384,30.436659,28.408248
54,497,4967,0.10006039863096436,117423,16384,30.825675,28.760272999999998
55,497,4962,0.10016122531237404,117266,16384,30.650062,28.630931
56,497,4969,0.1000201247735963,117359,16384,30.670574,28.662675
57,497,4970,0.1,117236,16384,30.645294999999997,28.597013
58,497,4963,0.1001410437235543,117148,16384,30.415858,28.381591999999998
59,496,4958,0.100040338846309,117202,16384,30.480145999999998,28.446775
60,497,4961,0.10018141503729087,117226,16384,30.950825,28.899727
61,497,4965,0.10010070493454179,117256,16384,30.820524,28.734354
62,498,4972,0.1001609010458568,117260,16384,31.022631999999998,28.978316999999997
63,498,4974,0.10012062726176116,117086,16384,30.528496999999998,28.421943
64,499,4985,0.10010030090270812,116993,16384,30.519505,28.424118999999997
65,497,4967,0.10006039863096436,116737,16384,30.531153,28.463479
66,497,4968,0.1000402576489533,116511,16384,30.843498999999998,28.772752999999998
67,498,4972,0.1001609010458568,116268,16384,30.764460999999997,28.788369
68,498,4976,0.10008038585209003,116282,16384,30.738380999999997,28.67157
69,500,4992,0.10016025641025642,116092,16384,30.705741,28.640946999999997
70,499,4988,0.10004009623095429,115783,16384,30.396562999999997,28.373976
71,499,4985,0.10010030090270812,115469,16384,30.451857999999998,28.331833
72,498,4979,0.10002008435428801,115023,16384,30.636591,28.584885
73,500,4994,0.1001201441730076,114519,16384,30.380179,28.308601
74,499,4990,0.1,114249,16384,30.090745,27.967775999999997
75,500,4992,0.10016025641025642,113859,16384,30.283893,28.358967999999997
76,501,5004,0.10011990407673861,114046,16384,30.218325999999998,28.055388999999998
77,502,5017,0.10005979669124974,114045,16384,30.152824,28.048606
78,501,5010,0.1,114131,16384,30.571247999999997,28.298073
79,501,5010,0.1,114037,16384,30.048665,27.942496
