frame_idx_after_warmup,stamp_sec,stamp_nanosec,iou,precision,recall,f1,gt_bins,pred_bins,omega_bins,empty_union0,proc_time_ms,gt_cover_ratio,points_in_frame,total_bins
62,1769319347,521625866,0.0506329113923468,0.06567164179094676,0.18106995884699148,0.09638554177783003,243,670,6697,0,0.9615420021873433,0.18106995884699148,110141,16384
63,1769319394,523632883,0.05989583333325534,0.06865671641780798,0.3194444444422261,0.11302211273061714,144,670,6700,0,0.548079999134643,0.3194444444422261,109457,16384
64,1769319403,689668996,0.05032258064509636,0.05812220566310265,0.27272727272536557,0.09582309553323293,143,671,6701,0,0.518643999384949,0.27272727272536557,109444,16384
65,1769319430,705681199,0.055766793409308284,0.06557377049170555,0.2716049382699284,0.10564225658919511,162,671,6704,0,0.3725460010173265,0.2716049382699284,109222,16384
66,1769319455,972477523,0.06737120211351734,0.07600596125174962,0.3722627737199105,0.12623762348045228,137,671,6709,0,0.3796179989876691,0.3722627737199105,109170,16384
67,1769319463,874921752,0.07246376811584655,0.08208955223868344,0.3819444444417921,0.13513513484358494,144,670,6699,0,0.37405100010801107,0.3819444444417921,109289,16384
68,1769319471,908406425,0.07441253263697857,0.0849478390460731,0.3749999999975329,0.13851761816751978,152,671,6703,0,0.3680039990285877,0.3749999999975329,109345,16384
69,1769319479,903080565,0.05958549222790209,0.06855439642314672,0.3129251700658985,0.11246943735771246,147,671,6703,0,0.3751069998543244,0.3129251700658985,109298,16384
70,1769319487,885616221,0.06847545219629396,0.07898658718319078,0.33974358974141194,0.12817412303095202,156,671,6707,0,0.6095549979363568,0.33974358974141194,109278,16384
71,1769319496,748701783,0.06675224646974744,0.0774962742174702,0.32499999999796875,0.12515042086806524,160,671,6709,0,0.3639410024334211,0.32499999999796875,109324,16384
72,1769319505,880922056,0.06431273644380288,0.07600596125174962,0.29479768785956767,0.12085308024251194,173,671,6708,0,0.40230700324173085,0.29479768785956767,109240,16384
73,1769319515,757859980,0.07711757269269644,0.09077380952367445,0.3388888888870062,0.14319248792930747,180,672,6712,0,0.3674299987324048,0.3388888888870062,109171,16384
74,1769319534,209385587,0.09116409537154115,0.09687034277183774,0.6074766355083413,0.1670951154435703,107,671,6709,0,0.569431998883374,0.6074766355083413,109237,16384
75,1769319542,256761263,0.10310734463262274,0.10863095238079074,0.6697247706360575,0.18693982050198618,109,672,6711,0,0.8713640017958824,0.6697247706360575,109276,16384
76,1769319550,386191076,0.10235131396942966,0.11011904761888375,0.591999999995264,0.1856963610901357,125,672,6717,0,0.3682310016301926,0.591999999995264,109285,16384
77,1769319558,427191694,0.10195530726242744,0.10863095238079074,0.6239316239262912,0.18504435969623514,117,672,6718,0,0.3701509995153174,0.6239316239262912,109336,16384
