metric,mean,median,min,max,p95
iou,0.04541270508427681,0.048316251830090313,0.0,0.10624999999988932,0.09825033647362282
precision,0.05370232891011098,0.057949479940478534,0.0,0.15133531157247576,0.13056379821939085
recall,0.39609434761982276,0.33974358974141194,0.0,0.9999999996666666,0.8529411764455018
f1,0.08483140861801981,0.09217877081715224,0.0,0.19209039501612632,0.17892156833794395

empty_union0_ratio,0.0
