frame_idx,stamp_sec,stamp_nanosec,iou,precision,recall,f1,gt_bins,pred_bins,omega_bins,empty_union0
0,1768984564,524316559,0.0,0.0,0.0,0.0,60,65,6417,0
1,1768984572,945246084,0.013422818791856224,0.019607843137062667,0.04081632652977926,0.026490065786412883,49,102,6402,0
2,1768984583,884284039,0.0,0.0,0.0,0.0,68,65,6432,0
3,1768984587,553535698,0.0,0.0,0.0,0.0,38,65,6479,0
4,1768984595,468415384,0.0,0.0,0.0,0.0,25,65,6485,0
5,1768984597,65729957,0.0,0.0,0.0,0.0,24,65,6477,0
6,1768984598,666468978,0.0,0.0,0.0,0.0,24,65,6485,0
7,1768984601,862946386,0.0,0.0,0.0,0.0,28,66,6519,0
8,1768984603,888497267,0.0,0.0,0.0,0.0,0,66,6548,0
9,1768984603,988527510,0.0,0.0,0.0,0.0,0,66,6562,0
10,1768984604,88591581,0.0,0.0,0.0,0.0,0,66,6557,0
11,1768984604,188821930,0.0,0.0,0.0,0.0,0,66,6558,0
12,1768984605,907202706,0.01492537313410559,0.015151515151285582,0.49999999975,0.029411764647923878,2,66,6566,0
13,1768984607,479266258,0.015151515151285582,0.015151515151285582,0.9999999989999999,0.029850746238360433,1,66,6559,0
14,1768984609,57730115,0.0,0.0,0.0,0.0,2,66,6571,0
15,1768984610,643575731,0.0,0.0,0.0,0.0,2,66,6586,0
16,1768984612,240502324,0.0,0.0,0.0,0.0,2,66,6591,0
17,1768984613,834813183,0.0,0.0,0.0,0.0,2,66,6597,0
18,1768984615,401531850,0.0,0.0,0.0,0.0,2,66,6584,0
19,1768984616,987348625,0.0,0.0,0.0,0.0,1,66,6582,0
20,1768984619,598492513,0.015151515151285582,0.015151515151285582,0.9999999989999999,0.029850746238360433,1,66,6585,0
21,1768984622,176081875,0.0,0.0,0.0,0.0,1,66,6583,0
22,1768984624,745447332,0.0,0.0,0.0,0.0,3,66,6593,0
23,1768984627,338753880,0.0,0.0,0.0,0.0,4,66,6590,0
24,1768984629,945381668,0.0,0.0,0.0,0.0,3,66,6589,0
25,1768984632,583450082,0.0,0.0,0.0,0.0,3,66,6585,0
