metric,mean,median,min,max,p95
iou,0.013799397913512977,0.012499999999843749,0.0,0.06122448979529362,0.04411764705817474
precision,0.02015575231553004,0.01492537313410559,0.0,0.08955223880463355,0.05970149253642236
recall,0.12155401688321503,0.03296703296667069,0.0,0.9999999989999999,0.7499999998125
f1,0.026721419447247315,0.024691357722298433,0.0,0.11538461492400147,0.08450704214481254

empty_union0_ratio,0.0
