metric,mean,median,min,max,p95
iou,0.02089633932327608,0.009153366008901919,0.0,0.0819672131143062,0.06537155978534959
precision,0.05726205738617347,0.023088023087667543,0.0,0.23076923076568046,0.18475961538177066
recall,0.03228078259684923,0.01794624175103144,0.0,0.1264367816077421,0.09804796918671811
f1,0.039861189484280544,0.018140682392152108,0.0,0.15151515107259464,0.12272061365742573

empty_union0_ratio,0.0
