frame_idx,stamp_sec,stamp_nanosec,iou,precision,recall,f1,gt_bins,pred_bins,omega_bins,empty_union0
0,1768905947,255066504,0.038095238094875285,0.062499999999023434,0.08888888888691358,0.07339449492668967,45,64,6294,0
1,1768905953,184787873,0.009174311926521336,0.01587301587276392,0.02127659574422816,0.01818181769206613,47,63,6289,0
2,1768905965,77197183,0.032520325202987636,0.06349206349105568,0.062499999999023434,0.06299212548329096,64,63,6291,0
3,1768905971,21184482,0.03787878787850092,0.0781249999987793,0.06849315068399324,0.07299270023101924,73,64,6305,0
4,1768905976,947148797,0.02877697841705916,0.062499999999023434,0.05063291139176414,0.055944055448775,79,64,6313,0
5,1768905982,842482069,0.0387096774191051,0.09523809523658353,0.06122448979529362,0.07453416101338683,98,63,6296,0
6,1768905988,750340771,0.03508771929804042,0.09374999999853516,0.053097345132273474,0.0677966097070446,113,64,6315,0
7,1768905995,738318867,0.03260869565199669,0.09374999999853516,0.04761904761866969,0.06315789428941829,126,64,6323,0
8,1768906002,722339959,0.03940886699487976,0.12499999999804687,0.05442176870711278,0.07582938346290516,147,64,6358,0
9,1768906010,639726509,0.044843049327153175,0.1562499999975586,0.05917159763278597,0.08583690947204775,169,64,6396,0
10,1768906018,528606003,0.04489795918349022,0.17187499999731445,0.05729166666636828,0.08593749962432863,192,64,6390,0
11,1768906026,554735304,0.04428044280426465,0.18749999999707032,0.05479452054769501,0.08480565335963741,219,64,6372,0
12,1768906034,516072720,0.07857142857086735,0.17187499999731445,0.1264367816077421,0.1456953637480812,87,64,6377,0
13,1768906042,651304737,0.06622516556247533,0.1562499999975586,0.10309278350409182,0.12422360200393501,97,64,6385,0
14,1768906050,785811249,0.06470588235256056,0.17187499999731445,0.09401709401629045,0.12154696086749488,117,64,6379,0
15,1768906058,889048317,0.0558659217873974,0.1562499999975586,0.07999999999936,0.10582010537107023,125,64,6392,0
16,1768906067,82437737,0.06532663316550087,0.19999999999692306,0.08843537414905826,0.12264150900760946,147,65,6404,0
17,1768906075,135400545,0.04504504504484214,0.15384615384378697,0.059880239520599524,0.08620689614762933,167,65,6415,0
18,1768906084,240846416,0.04979253112012534,0.18461538461254437,0.06382978723370304,0.0948616596964802,188,65,6424,0
19,1768906101,144729620,0.06369426751551788,0.15384615384378697,0.09803921568531333,0.11976047856502563,102,65,6436,0
20,1768906109,169917263,0.0574712643674858,0.15384615384378697,0.08403361344467199,0.10869565171579632,119,65,6445,0
21,1768906117,71670667,0.04864864864838569,0.13846153845940828,0.06976744185992428,0.09278350470809862,129,65,6440,0
22,1768906124,977731352,0.03398058252410689,0.10769230769065088,0.04729729729697772,0.06572769910582116,148,65,6435,0
23,1768906132,892865616,0.04424778761042369,0.15384615384378697,0.05847953216340071,0.08474576231201524,171,65,6453,0
24,1768906140,965102716,0.05732484076396609,0.13846153845940828,0.08910891089020684,0.10843373446196836,101,65,6461,0
25,1768906148,44348389,0.06626506024056467,0.16923076922816568,0.0982142857134088,0.12429378484458486,112,65,6452,0
26,1768906155,57279939,0.06179775280864159,0.16923076922816568,0.08870967741863943,0.11640211594960946,124,65,6448,0
27,1768906163,81394531,0.0399999999998,0.12307692307502958,0.05594405594366473,0.07692307649264978,143,65,6452,0
28,1768906171,8270936,0.055045871559380524,0.18461538461254437,0.07272727272683197,0.10434782568056711,165,65,6462,0
29,1768906178,894867630,0.037656903765532816,0.13846153845940828,0.049180327868583715,0.07258064477390089,183,65,6456,0
30,1768906195,798016658,0.07999999999954287,0.21538461538130177,0.1129032258055411,0.14814814769530527,124,65,6469,0
31,1768906203,718308963,0.0819672131143062,0.23076923076568046,0.11278195488637006,0.15151515107259464,133,65,6482,0
32,1768906211,659697177,0.062499999999699525,0.19999999999692306,0.08333333333279914,0.11764705840723978,156,65,6496,0
33,1768906219,604926062,0.05421686746955291,0.13846153845940828,0.08181818181743801,0.10285714238902857,110,65,6484,0
34,1768906226,467533295,0.0279329608936987,0.07692307692189349,0.04201680672233599,0.05434782562943054,119,65,6495,0
35,1768906240,509143748,0.009132420091282501,0.030303030302571164,0.012903225806368367,0.01809954709223809,155,66,6510,0
36,1768906247,525860023,0.012820512820458032,0.04545454545385675,0.01754385964902021,0.02531645529413022,171,66,6512,0
37,1768906254,533930228,0.022388059701325465,0.04545454545385675,0.04225352112616544,0.043795619937982845,71,66,6518,0
38,1768906260,492376337,0.02068965517227111,0.04545454545385675,0.03658536585321237,0.04054054004583638,82,66,6517,0
39,1768906266,433463728,0.03225806451592092,0.07575757575642791,0.05319148936113626,0.062499999514531245,94,66,6520,0
40,1768906272,402888344,0.0060240963855058794,0.015151515151285582,0.009900990098911872,0.011976047426010272,101,66,6520,0
41,1768906278,376401298,0.011560693641551673,0.030303030302571164,0.018348623853042673,0.022857142387069398,109,66,6530,0
42,1768906284,386772689,0.01639344262286124,0.04545454545385675,0.024999999999791665,0.03225806405792577,120,66,6534,0
43,1768906290,245209757,0.005208333333306207,0.015151515151285582,0.007874015747969495,0.010362693850358418,127,66,6531,0
44,1768906296,177314369,0.009389671361458265,0.030303030302571164,0.013422818791856224,0.018604650737133598,149,66,6537,0
45,1768906302,156881180,0.025316455696095714,0.0909090909077135,0.03389830508455425,0.04938271565330488,177,66,6540,0
46,1768906308,123290258,0.03546099290754993,0.07575757575642791,0.06249999999921875,0.06849315018859073,80,66,6537,0
47,1768906312,992637331,0.025316455696042302,0.06060606060514233,0.04166666666623264,0.04938271556591983,96,66,6538,0
48,1768906317,922732345,0.005917159763278597,0.015151515151285582,0.009615384615292159,0.01176470540719725,104,66,6530,0
