metric,mean,median,min,max,p95
iou,0.016022071452425346,0.013761757464759314,0.0,0.06547619047580074,0.04425725986559921
precision,0.04294980849844293,0.030076888285391172,0.0,0.19117647058542386,0.11764705882179931
recall,0.05545868092142132,0.02314106487117274,0.0,0.9999999989999999,0.10610302351315476
f1,0.03112783214586093,0.027149876806549515,0.0,0.1229050274604413,0.08476312380837944

empty_union0_ratio,0.0
