metric,mean,median,min,max,p95
iou,0.002851485310928288,0.0,0.0,0.012345679012193262,0.011962134251147779
precision,0.0042710973434068635,0.0,0.0,0.015151515151285582,0.015151515151285582
recall,0.010532872201643076,0.0,0.0,0.06666666666222222,0.056862745094803276
f1,0.005643487045784625,0.0,0.0,0.024390243602914932,0.023641456252631296

empty_union0_ratio,0.0
