metric,mean,median,min,max,p95
iou,0.0027142593644484004,0.0,0.0,0.013333333333244445,0.012315930388067853
precision,0.0045625463535221,0.0,0.0,0.030303030302571164,0.015151515151285582
recall,0.008871743946496018,0.0,0.0,0.06666666666222222,0.05770308122915204
f1,0.005373995771791789,0.0,0.0,0.02631578898199447,0.02433217157758196

empty_union0_ratio,0.0
